Prediction,Category,Category Name,Sensitivity,Specificity,Categorical agreement,ME,VME,N,Resistant
R,ST,ST2418,100,0,100,100,0,2,100
R,ST,ST242,-,100,100,0,-,1,0
R,ST,ST2421,-,100,100,0,-,1,0
R,ST,ST2421-1LV,-,100,100,0,-,1,0
R,ST,ST2421-3LV,-,100,100,0,-,1,0
R,ST,ST2423,-,100,100,0,-,1,0
R,ST,ST2425,-,100,100,0,-,1,0
R,ST,ST2426,-,100,100,0,-,2,0
R,ST,ST2428,-,100,100,0,-,2,0
R,ST,ST2432-3LV,-,100,100,0,-,1,0
R,ST,ST2433,-,0,0,100,-,1,0
R,ST,ST2436,0,100,0,0,100,1,100
R,ST,ST2439,-,100,100,0,-,5,0
R,ST,ST244,100,0,50,100,0,2,50
