"id","displayname","latitude","longitude","day","month","year","literaturelink","Secondary sample accession","Alternative sample name 2","Host","Environmental sample","City/region","Collection date","Host status","Run accession","Alternative sample name 1","Study accession","Sample alias","Isolation source","Accession","Host sex","Country","Sample accession","Collected by","Experiment accession"
"65ca2ff1e0350459151946b0","SAMN26369294",-37.8462,144.9827,"","",2020,"","SRS12169425","","Human","","Melbourne","2020","","SRR18208874","","PRJNA777643","KPN2287","urine","SRR18208874","","Australia","SAMN26369294","Alfred Health","SRX14355719"
"65ca2ff1e0350447ee1946af","SAMN26369295",-37.8462,144.9827,"","",2020,"","SRS12169426","","Human","","Melbourne","2020","","SRR18208873","","PRJNA777643","KPN2288","Blood Venous","SRR18208873","","Australia","SAMN26369295","Alfred Health","SRX14355720"
"65ca2ff1e035040c081946ae","SAMN26369298",-37.8462,144.9827,"","",2020,"","SRS12169430","","Human","","Melbourne","2020","","SRR18208869","","PRJNA777643","KPN2293","sputum","SRR18208869","","Australia","SAMN26369298","Alfred Health","SRX14355724"
"65c229035fef0d94f180266d","SAMN26369304",-37.8462,144.9827,"","",2020,"","SRS12169436","","Human","","Melbourne","2020","","SRR18208863","","PRJNA777643","KPN2299","urine","SRR18208863","","Australia","SAMN26369304","Alfred Health","SRX14355730"
"644019af8c9ce533708c3574","SAMN26419471",40,-100,1,1,2020,"","SRS12173634","","Human","False","","2020-01-01","","SRR18213636","","PRJNA288601","2020HL-01140","wound","","","USA","SAMN26419471","","SRX14360112"
"644019af8c9ce5238a8c357b","SAMN26422243",39.93,32.86,26,10,2018,"","SRS12176952","","Human","False","Ankara","2018-10-26","","SRR18217271","","PRJNA789336","TR-256","bloodstream","","","Turkey","SAMN26422243","Ankara University Ibni Sina Hospital","SRX14363628"
"644019af8c9ce5a4448c357a","SAMN26422248",39.93,32.86,29,11,2018,"","SRS12176957","","Human","False","Ankara","2018-11-29","","SRR18217266","","PRJNA789336","TR-261","bloodstream","","","Turkey","SAMN26422248","Ankara University Ibni Sina Hospital","SRX14363633"
"644019af8c9ce513e18c357e","SAMN26422259",39.93,32.86,20,3,2019,"","SRS12177018","","Human","False","Ankara","2019-03-20","","SRR18217205","","PRJNA789336","TR-272","bloodstream","","","Turkey","SAMN26422259","Ankara University Ibni Sina Hospital","SRX14363694"
"644019af8c9ce580148c357d","SAMN26422261",39.93,32.86,18,3,2019,"","SRS12177021","","Human","False","Ankara","2019-03-18","","SRR18217202","","PRJNA789336","TR-274","bloodstream","","","Turkey","SAMN26422261","Ankara University Ibni Sina Hospital","SRX14363697"
"644019af8c9ce567628c3410","SAMN26422266",39.93,32.86,8,12,2018,"","SRS12177026","","Human","False","Ankara","2018-12-08","","SRR18217197","","PRJNA789336","TR-279","bloodstream","","","Turkey","SAMN26422266","Ankara University Ibni Sina Hospital","SRX14363702"
"644019af8c9ce5b18b8c3570","SAMN26422267",39.93,32.86,8,4,2019,"","SRS12177027","","Human","False","Ankara","2019-04-08","","SRR18217196","","PRJNA789336","TR-280","bloodstream","","","Turkey","SAMN26422267","Ankara University Ibni Sina Hospital","SRX14363703"
"644019af8c9ce5360c8c3411","SAMN26422269",39.93,32.86,10,12,2018,"","SRS12177029","","Human","False","Ankara","2018-12-10","","SRR18217194","","PRJNA789336","TR-283","bloodstream","","","Turkey","SAMN26422269","Ankara University Ibni Sina Hospital","SRX14363705"
"644019af8c9ce5513c8c3571","SAMN26422271",39.93,32.86,15,4,2019,"","SRS12177032","","Human","False","Ankara","2019-04-15","","SRR18217191","","PRJNA789336","TR-285","bloodstream","","","Turkey","SAMN26422271","Ankara University Ibni Sina Hospital","SRX14363708"
"644019af8c9ce523518c3572","SAMN26422272",39.93,32.86,24,12,2018,"","SRS12177033","","Human","False","Ankara","2018-12-24","","SRR18217190","","PRJNA789336","TR-286","bloodstream","","","Turkey","SAMN26422272","Ankara University Ibni Sina Hospital","SRX14363709"
"644019af8c9ce51f038c3573","SAMN26422274",39.93,32.86,24,4,2019,"","SRS12177035","","Human","False","Ankara","2019-04-24","","SRR18217188","","PRJNA789336","TR-288","bloodstream","","","Turkey","SAMN26422274","Ankara University Ibni Sina Hospital","SRX14363711"
"644019af8c9ce5ab4a8c3413","SAMN26422276",39.93,32.86,24,4,2019,"","SRS12177037","","Human","False","Ankara","2019-04-24","","SRR18217186","","PRJNA789336","TR-290","bloodstream","","","Turkey","SAMN26422276","Ankara University Ibni Sina Hospital","SRX14363713"
"644019af8c9ce5da368c3578","SAMN26422280",39.93,32.86,20,5,2019,"","SRS12176883","","Human","False","Ankara","2019-05-20","","SRR18217340","","PRJNA789336","TR-294","bloodstream","","","Turkey","SAMN26422280","Ankara University Ibni Sina Hospital","SRX14363559"
"644019af8c9ce5e6038c3415","SAMN26422281",39.93,32.86,18,1,2019,"","SRS12176884","","Human","False","Ankara","2019-01-18","","SRR18217339","","PRJNA789336","TR-295","bloodstream","","","Turkey","SAMN26422281","Ankara University Ibni Sina Hospital","SRX14363560"
"644019af8c9ce574bd8c3416","SAMN26422391",41,28.94,16,6,2018,"","SRS12177002","","Human","False","Istanbul","2018-06-16","","SRR18217221","","PRJNA789336","TR-015","bloodstream","","","Turkey","SAMN26422391","Istanbul University Cerrahpasa Hospital","SRX14363678"
"644019af8c9ce5e0e98c3579","SAMN26422440",40.22,28.87,19,7,2018,"","SRS12176901","","Human","False","Bursa","2018-07-19","","SRR18217322","","PRJNA789336","TR-312","bloodstream","","","Turkey","SAMN26422440","Uludag University Hospital","SRX14363577"
"65ca2ff1e035046c7f19472a","SAMN26764860",1.32,103.76,"","",2015,"","SRS12350367","","Human","","","2015","","SRR18440532","","PRJNA577535","EC1639","RECTAL","SRR18440532","","Singapore","SAMN26764860","Singapore General Hospital","SRX14573642"
"65ca2ff1e035044394194729","SAMN26764921",1.32,103.76,"","",2020,"","SRS12350375","","Human","","","2020","","SRR18440524","","PRJNA577535","EC3573","RECTAL","SRR18440524","","Singapore","SAMN26764921","Singapore General Hospital","SRX14573650"
"65c229035fef0d1a708026ac","SAMN26764924",1.32,103.76,"","",2020,"","SRS12350379","","Human","","","2020","","SRR18440520","","PRJNA577535","EC3615","RECTAL","SRR18440520","","Singapore","SAMN26764924","Singapore General Hospital","SRX14573654"
